Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
129-29-8530;A;Yangon;Member;Male;Sports and travel;62.62;5;15.655;328.755;03/10/2019;19:15:00;Ewallet;313.1;4.761.904.762;15.655;7.0
865-92-6136;A;Yangon;Normal;Male;Food and beverages;52.75;3;79.125;1.661.625;03/23/2019;10:16:00;Ewallet;158.25;4.761.904.762;79.125;9.3
827-26-2100;A;Yangon;Member;Male;Home and lifestyle;33.84;9;15.228;319.788;03/21/2019;16:21:00;Ewallet;304.56;4.761.904.762;15.228;8.8
851-28-6367;A;Yangon;Member;Male;Sports and travel;15.5;10;7.75;162.75;03/23/2019;10:55:00;Ewallet;155.0;4.761.904.762;7.75;8.0
667-92-0055;A;Yangon;Member;Male;Health and beauty;99.83;6;29.949;628.929;03/04/2019;15:02:00;Ewallet;598.98;4.761.904.762;29.949;8.5
898-04-2717;A;Yangon;Normal;Male;Fashion accessories;76.4;9;34.38;721.98;03/19/2019;15:49:00;Ewallet;687.6;4.761.904.762;34.38;7.5
472-15-9636;A;Yangon;Normal;Male;Home and lifestyle;50.93;8;20.372;427.812;03/22/2019;19:36:00;Ewallet;407.44;4.761.904.762;20.372;9.2
795-49-7276;A;Yangon;Normal;Male;Fashion accessories;37.15;4;7.43;156.03;03/23/2019;18:59:00;Ewallet;148.6;4.761.904.762;7.43;8.3
643-38-7867;A;Yangon;Normal;Male;Home and lifestyle;97.94;1;4.897;102.837;03/07/2019;11:44:00;Ewallet;97.94;4.761.904.762;4.897;6.9
239-48-4278;A;Yangon;Member;Male;Food and beverages;10.13;7;35.455;744.555;03/10/2019;19:35:00;Ewallet;70.91;4.761.904.762;35.455;8.3
655-07-2265;A;Yangon;Normal;Male;Electronic accessories;78.31;3;117.465;2.466.765;03/05/2019;16:38:00;Ewallet;234.93;4.761.904.762;117.465;5.4
720-72-2436;A;Yangon;Normal;Male;Food and beverages;66.52;4;13.304;279.384;03/02/2019;18:14:00;Ewallet;266.08;4.761.904.762;13.304;6.9
856-22-8149;A;Yangon;Normal;Female;Home and lifestyle;25.29;1;12.645;265.545;03/23/2019;10:13:00;Ewallet;25.29;4.761.904.762;12.645;6.1
850-41-9669;A;Yangon;Normal;Female;Electronic accessories;75.06;9;33.777;709.317;03/19/2019;13:25:00;Ewallet;675.54;4.761.904.762;33.777;6.2
885-17-6250;A;Yangon;Normal;Female;Health and beauty;79.74;1;3.987;83.727;03/06/2019;10:36:00;Ewallet;79.74;4.761.904.762;3.987;7.3
256-08-8343;A;Yangon;Normal;Female;Home and lifestyle;56.53;4;11.306;237.426;03/04/2019;19:48:00;Ewallet;226.12;4.761.904.762;11.306;5.5
727-17-0390;A;Yangon;Normal;Female;Food and beverages;63.61;5;159.025;3.339.525;03/16/2019;12:43:00;Ewallet;318.05;4.761.904.762;159.025;4.8
218-59-9410;A;Yangon;Member;Female;Home and lifestyle;72.42;3;10.863;228.123;03/29/2019;16:54:00;Ewallet;217.26;4.761.904.762;10.863;8.2
509-29-3912;A;Yangon;Member;Female;Sports and travel;38.72;9;17.424;365.904;03/20/2019;12:24:00;Ewallet;348.48;4.761.904.762;17.424;4.2
156-95-3964;A;Yangon;Normal;Female;Food and beverages;55.39;4;11.078;232.638;03/25/2019;15:19:00;Ewallet;221.56;4.761.904.762;11.078;8.0
291-55-6563;A;Yangon;Member;Female;Home and lifestyle;34.42;6;10.326;216.846;03/30/2019;12:45:00;Ewallet;206.52;4.761.904.762;10.326;7.5
186-71-5196;A;Yangon;Member;Female;Food and beverages;79.54;2;7.954;167.034;03/27/2019;16:30:00;Ewallet;159.08;4.761.904.762;7.954;6.2
139-32-4183;A;Yangon;Member;Female;Sports and travel;97.48;9;43.866;921.186;03/14/2019;14:19:00;Ewallet;877.32;4.761.904.762;43.866;7.4
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87.98;3;13.197;277.137;03/05/2019;10:40:00;Ewallet;263.94;4.761.904.762;13.197;5.1
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.616;33.936;03/07/2019;11:49:00;Ewallet;32.32;4.761.904.762;1.616;6.5
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87.87;10;43.935;922.635;03/29/2019;10:25:00;Ewallet;878.7;4.761.904.762;43.935;5.1
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56.47;8;22.588;474.348;03/09/2019;14:57:00;Ewallet;451.76;4.761.904.762;22.588;7.3
743-04-1105;B;Mandalay;Member;Male;Health and beauty;97.22;9;43.749;918.729;03/30/2019;14:43:00;Ewallet;874.98;4.761.904.762;43.749;6.0
895-66-0685;B;Mandalay;Member;Male;Food and beverages;18.08;3;2.712;56.952;03/05/2019;19:46:00;Ewallet;54.24;4.761.904.762;2.712;8.0
573-58-9734;B;Mandalay;Normal;Female;Fashion accessories;30.37;3;45.555;956.655;03/28/2019;13:41:00;Ewallet;91.11;4.761.904.762;45.555;5.1
468-01-2051;B;Mandalay;Normal;Male;Food and beverages;62.08;7;21.728;456.288;03/06/2019;13:46:00;Ewallet;434.56;4.761.904.762;21.728;5.4
585-03-5943;B;Mandalay;Normal;Male;Health and beauty;18.11;10;9.055;190.155;03/13/2019;11:46:00;Ewallet;181.1;4.761.904.762;9.055;5.9
433-75-6987;B;Mandalay;Member;Female;Health and beauty;55.97;7;195.895;4.113.795;03/05/2019;19:06:00;Ewallet;391.79;4.761.904.762;195.895;8.9
701-69-8742;B;Mandalay;Normal;Male;Sports and travel;34.37;10;17.185;360.885;03/16/2019;10:11:00;Ewallet;343.7;4.761.904.762;17.185;6.7
686-41-0932;B;Mandalay;Normal;Female;Fashion accessories;34.7;2;3.47;72.87;03/13/2019;19:48:00;Ewallet;69.4;4.761.904.762;3.47;8.2
425-85-2085;B;Mandalay;Member;Male;Health and beauty;54.86;5;13.715;288.015;03/29/2019;16:48:00;Ewallet;274.3;4.761.904.762;13.715;9.8
339-96-8318;B;Mandalay;Member;Male;Fashion accessories;81.31;7;284.585;5.976.285;03/01/2019;19:49:00;Ewallet;569.17;4.761.904.762;284.585;6.3
642-30-6693;B;Mandalay;Normal;Female;Sports and travel;54.51;6;16.353;343.413;03/17/2019;13:54:00;Ewallet;327.06;4.761.904.762;16.353;7.8
794-32-2436;B;Mandalay;Member;Male;Electronic accessories;55.67;2;5.567;116.907;03/27/2019;15:08:00;Ewallet;111.34;4.761.904.762;5.567;6.0
576-31-4774;B;Mandalay;Normal;Female;Health and beauty;73.41;3;110.115;2.312.415;03/02/2019;13:10:00;Ewallet;220.23;4.761.904.762;110.115;4.0
